"Status","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","NA","Country","nation"
"Complete","British Columbia","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","Will stay the same","Will stay the same","Will increase slightly","","","Social Science / Humanities","","","Female","","Canada","Canada"
"Complete","Australia","Senior academic researcher with > 10 years of experience applying for research grants","","","0%","Yes","","0%","0%",NA,NA,1,NA,NA,"","","Some partnership","Yes","No partnership",NA,1,NA,1,NA,"","","6-Apr","6-Apr","","3-Jan","0","","","","","","","","Very important","Quite important","Somewhat important","Somewhat important","","","","","","","","","","","","","Increased","Decreased","Can't comment","",NA,NA,NA,NA,"","Will decrease slightly","Will increase slightly","Will stay the same","","","Engineering","","","Female","","Australia","Australia"
"Complete","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","0%","0%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","","3-Jan","3-Jan","","","No need for applications for this research type","","","","","Very important","Mandatory","Somewhat important","Quite important","","","","","","","","","","","","","Increased","Stayed the same","Decreased","",NA,NA,NA,NA,"","Will decrease slightly","Will stay the same","Will increase slightly","","","Medicine and Life Science","","","Male","","Israel","Israel"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","","","0%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Yes","Some partnership",1,NA,1,1,NA,"","","9-Jul","9-Jul","","6-Apr","6-Apr","","","","","","","","Quite important","Very important","Not very important","Quite important","","","","","","","","","","","","","Increased","Stayed the same","Decreased","",NA,NA,NA,NA,"","Will increase considerably","Will increase slightly","Will stay the same","","","Engineering","","","Male","Very useful survey!","Canada","Canada"
"Complete","British Columbia","Non-academic researcher conducting or managing research in industry or government with > 10 years of experience","","","100%","Yes","","","70%",NA,NA,NA,1,NA,"","","Some partnership","Yes","Strong partnership",NA,1,NA,NA,NA,"","","3-Jan","6-Apr","9-Jul","9-Jul","6-Apr","3-Jan","20%","","0%","10%","","","Quite important","Quite important","Somewhat important","Not very important","","","","","","","","","","","","sedge","Decreased considerably","","Stayed the same","",1,1,NA,NA,"","Will decrease slightly","Will decrease slightly","Will decrease slightly","","","Natural Science","1988","Barbados","Other","","Canada","Barbados"
"Complete","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","","","Yes","100%","","",NA,1,NA,NA,NA,"","Slightly positive","Exclusive partnership","Yes","Some partnership",NA,1,NA,NA,NA,"","","6-Apr","3-Jan","6-Apr","9-Jul","12-Oct","12-Oct","No need for applications for this research type","50%","10%","40%","No need for applications for this research type","No need for applications for this research type","Quite important","Quite important","Quite important","Quite important","","","","","","","","10%","","","","","","","Stayed the same","",NA,NA,1,NA,"","","Will increase slightly","Will decrease slightly","","","Natural Science","2007","Antarctica","Female","","Canada","Antarctica"
"Complete","British Columbia","Non-academic researcher conducting or managing research in industry or government with > 10 years of experience","10%","70%","20%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","3-Jan","0","0","0","90%","80%","80%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Somewhat important","Not at all important","Not at all important","Not at all important","","","","","","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Increased","Stayed the same","",NA,1,1,NA,"","Will stay the same","Will increase slightly","Will stay the same","","","Engineering","2016","Canada","Male","","Canada","Canada"
"Complete","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","40%","30%","30%","Yes","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Yes","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","","Netherlands","Canada"
"Complete","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","0%","50%","50%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","0","3-Jan","0","0","0","0","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Somewhat important","Can't comment","50%","50%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Increased","",NA,1,1,NA,"","Can't comment","Can't comment","Can't comment","","","Engineering","2013","Canada","Female","","Netherlands","Canada"
"Complete","Netherlands","Senior academic researcher with > 10 years of experience applying for research grants","70%","30%","","Yes","100%","0%","0%",1,NA,NA,1,NA,"","Very positive","Some partnership","Yes","No partnership",1,NA,1,1,NA,"","Very positive","6-Apr","3-Jan","0","3-Jan","0","0","50%","10%","No need for applications for this research type","50%","No need for applications for this research type","No need for applications for this research type","Very important","Somewhat important","Quite important","Somewhat important","50%","40%","10%","10%","0%","","50%","50%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Increased","Increased","",NA,1,1,NA,"","Will stay the same","Will increase slightly","Will stay the same","","","Medicine and Life Science","2005","Russia","Male","","Netherlands","Russia"
